track,unit,experiment_name,run_id,mode,dataset,seed,model_variant,monitor_preset,trigger_mode,trigger_threshold,confirm_window,weights,log_path,acc_final,mean_acc,acc_min,candidate_count,confirmed_count,drift_idx,drift_pos,segment_end,first_candidate_step,first_confirmed_step,delay_candidate,delay_confirmed,miss_tol500
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed1.csv,0.8754,0.8253208134503676,0.4375,32,32,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed1.csv,0.8754,0.8253208134503676,0.4375,32,32,1,20000,30000,20863,20863,863,863,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed1.csv,0.8754,0.8253208134503676,0.4375,32,32,2,30000,40000,30399,30399,399,399,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed1.csv,0.8754,0.8253208134503676,0.4375,32,32,3,40000,50000,40447,40447,447,447,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed2.csv,0.8689,0.8271806706567709,0.7352941176470589,31,31,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed2.csv,0.8689,0.8271806706567709,0.7352941176470589,31,31,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed2.csv,0.8689,0.8271806706567709,0.7352941176470589,31,31,2,30000,40000,30335,30335,335,335,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed2.csv,0.8689,0.8271806706567709,0.7352941176470589,31,31,3,40000,50000,40767,40767,767,767,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87678,0.8316486755890029,0.328125,29,29,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87678,0.8316486755890029,0.328125,29,29,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87678,0.8316486755890029,0.328125,29,29,2,30000,40000,30335,30335,335,335,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87678,0.8316486755890029,0.328125,29,29,3,40000,50000,40511,40511,511,511,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87286,0.8256624392058284,0.59375,30,30,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87286,0.8256624392058284,0.59375,30,30,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87286,0.8256624392058284,0.59375,30,30,2,30000,40000,30655,30655,655,655,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87286,0.8256624392058284,0.59375,30,30,3,40000,50000,40447,40447,447,447,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87128,0.8103720953725315,0.63671875,31,31,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87128,0.8103720953725315,0.63671875,31,31,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87128,0.8103720953725315,0.63671875,31,31,2,30000,40000,30079,30079,79,79,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160523-05m_or/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87128,0.8103720953725315,0.63671875,31,31,3,40000,50000,41791,41791,1791,1791,1
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed1/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.9376171875,0.948539954656234,0.15625,14,14,0,20000,40000,20031,20031,31,31,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed1/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.9376171875,0.948539954656234,0.15625,14,14,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed2/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.92787109375,0.9409678353023962,0.484375,15,15,0,20000,40000,20095,20095,95,95,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed2/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.92787109375,0.9409678353023962,0.484375,15,15,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed3/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.9341015625,0.9466461307825081,0.5,13,13,0,20000,40000,20031,20031,31,31,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed3/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.9341015625,0.9466461307825081,0.5,13,13,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed4/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.93392578125,0.9486752900637536,0.421875,14,14,0,20000,40000,20095,20095,95,95,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed4/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.93392578125,0.9486752900637536,0.421875,14,14,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed5/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9341015625,0.9554518185590278,0.75,14,14,0,20000,40000,20031,20031,31,31,0
I,sample_idx,trackI_delay_diag,20260107-160523-05m_or,or,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed5/20260107-160523-05m_or/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9341015625,0.9554518185590278,0.75,14,14,1,40000,60000,40127,40127,127,127,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87048,0.8201710096526521,0.6328125,28,28,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87048,0.8201710096526521,0.6328125,28,28,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87048,0.8201710096526521,0.6328125,28,28,2,30000,40000,30399,30527,399,527,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87048,0.8201710096526521,0.6328125,28,28,3,40000,50000,41087,41087,1087,1087,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed2.csv,0.88484,0.8358369899508489,0.70703125,31,30,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed2.csv,0.88484,0.8358369899508489,0.70703125,31,30,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed2.csv,0.88484,0.8358369899508489,0.70703125,31,30,2,30000,40000,30335,30783,335,783,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed2.csv,0.88484,0.8358369899508489,0.70703125,31,30,3,40000,50000,40959,40959,959,959,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed3.csv,0.85888,0.809811872017783,0.34375,32,31,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed3.csv,0.85888,0.809811872017783,0.34375,32,31,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed3.csv,0.85888,0.809811872017783,0.34375,32,31,2,30000,40000,30399,30399,399,399,0
