track,unit,experiment_name,run_id,mode,dataset,seed,model_variant,monitor_preset,trigger_mode,trigger_threshold,confirm_window,weights,log_path,acc_final,mean_acc,acc_min,candidate_count,confirmed_count,drift_idx,drift_pos,segment_end,first_candidate_step,first_confirmed_step,delay_candidate,delay_confirmed,miss_tol500
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed3.csv,0.85888,0.809811872017783,0.34375,32,31,3,40000,50000,41599,41599,1599,1599,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87084,0.8257067767068501,0.609375,31,31,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87084,0.8257067767068501,0.609375,31,31,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87084,0.8257067767068501,0.609375,31,31,2,30000,40000,30463,30463,463,463,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed4.csv,0.87084,0.8257067767068501,0.609375,31,31,3,40000,50000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87386,0.8169587261182338,0.328125,31,30,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87386,0.8169587261182338,0.328125,31,30,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87386,0.8169587261182338,0.328125,31,30,2,30000,40000,30399,30655,399,655,1
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/sea_abrupt4__ts_drift_adapt__seed5.csv,0.87386,0.8169587261182338,0.328125,31,30,3,40000,50000,40255,40255,255,255,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.927578125,0.9397176930007073,0.109375,15,12,0,20000,40000,20031,20031,31,31,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed1/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.927578125,0.9397176930007073,0.109375,15,12,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.9341015625,0.9454103630479181,0.484375,15,12,0,20000,40000,20095,20095,95,95,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed2/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.9341015625,0.9454103630479181,0.484375,15,12,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.92826171875,0.9457677409078785,0.578125,14,12,0,20000,40000,20031,20031,31,31,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed3/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.92826171875,0.9457677409078785,0.578125,14,12,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.933203125,0.9535017687606393,0.6875,15,12,0,20000,40000,20095,20095,95,95,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed4/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.933203125,0.9535017687606393,0.6875,15,12,1,40000,60000,40063,40063,63,63,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9307421875,0.9446578974939128,0.328125,15,13,0,20000,40000,20031,20031,31,31,0
I,sample_idx,trackI_delay_diag,20260107-160656-pkz_weighted_t0.40,weighted_t0.40,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.4,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/stagger_abrupt3/ts_drift_adapt/seed5/20260107-160656-pkz_weighted_t0.40/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9307421875,0.9446578974939128,0.328125,15,13,1,40000,60000,40127,40127,127,127,0
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87002,0.8223528269797254,0.6614583333333334,29,29,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87002,0.8223528269797254,0.6614583333333334,29,29,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87002,0.8223528269797254,0.6614583333333334,29,29,2,30000,40000,30527,30527,527,527,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed1/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87002,0.8223528269797254,0.6614583333333334,29,29,3,40000,50000,40383,40383,383,383,0
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87738,0.8287059669458964,0.69140625,30,30,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87738,0.8287059669458964,0.69140625,30,30,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87738,0.8287059669458964,0.69140625,30,30,2,30000,40000,30527,30527,527,527,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed2/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87738,0.8287059669458964,0.69140625,30,30,3,40000,50000,40191,40191,191,191,0
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87348,0.8275999966129453,0.65625,30,30,0,10000,20000,11327,11327,1327,1327,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87348,0.8275999966129453,0.65625,30,30,1,20000,30000,20927,20927,927,927,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87348,0.8275999966129453,0.65625,30,30,2,30000,40000,30911,30911,911,911,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed3/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87348,0.8275999966129453,0.65625,30,30,3,40000,50000,40575,40575,575,575,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed4.csv,0.86192,0.8195310138758153,0.578125,32,31,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed4.csv,0.86192,0.8195310138758153,0.578125,32,31,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed4.csv,0.86192,0.8195310138758153,0.578125,32,31,2,30000,40000,30399,30399,399,399,0
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed4/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed4.csv,0.86192,0.8195310138758153,0.578125,32,31,3,40000,50000,40447,40447,447,447,0
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed5.csv,0.86718,0.8178414312413556,0.59375,32,30,0,10000,20000,11199,11199,1199,1199,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed5.csv,0.86718,0.8178414312413556,0.59375,32,30,1,20000,30000,20799,20799,799,799,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed5.csv,0.86718,0.8178414312413556,0.59375,32,30,2,30000,40000,30399,30783,399,783,1
I,sample_idx,trackI_delay_diag,20260107-160828-06z_weighted_t0.50,weighted_t0.50,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,weighted,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackI_delay_diag/sea_abrupt4/ts_drift_adapt/seed5/20260107-160828-06z_weighted_t0.50/sea_abrupt4__ts_drift_adapt__seed5.csv,0.86718,0.8178414312413556,0.59375,32,30,3,40000,50000,40383,40383,383,383,0
